Title,Price,Długość karty,Ilość pamięci RAM,Rodzaj chipsetu,Taktowanie rdzenia w trybie boost
Karta graficzna Gigabyte Radeon RX 7800 XT Gaming OC 16GB GDDR6 (GV-R78XTGAMING OC-16GD),2 199 zł,302 mm,16 GB,Radeon RX 7800 XT,2565 MHz
Karta graficzna MSI GeForce RTX 5080 Gaming Trio OC 16GB GDDR7 DLSS4,"7 318,99 zł",338 mm,16 GB,GeForce RTX 5080,2715 MHz
Karta graficzna ASRock Radeon RX 6800 XT Phantom Gaming OC 16GB GDDR6 (RX6800XT PG 16GO),2 199 zł,330 mm,16 GB,Radeon RX 6800 XT,2310 MHz
Karta graficzna Gigabyte GeForce RTX 3060 Windforce OC LHR 12GB GDDR6 (GV-N3060WF2OC-12GD 2.0),1 239 zł,198 mm,12 GB,GeForce RTX 3060,1792 MHz
Karta graficzna ASRock Radeon RX 6600 Challenger D 8GB GDDR6 (RX6600 CLD 8G),"928,66 zł",269 mm,8 GB,Radeon RX 6600,2491 MHz
Karta graficzna MSI GeForce RTX 3060 Ventus 2X OC 12GB GDDR6,1 299 zł,235 mm,12 GB,GeForce RTX 3060,1807 MHz
Karta graficzna Asus Dual GeForce RTX 3060 Gaming OC 12GB GDDR6 (DUAL-RTX3060-O12G-V2),"1 322,07 zł",200 mm,12 GB,GeForce RTX 3060,1867 MHz
Karta graficzna MSI GeForce RTX 4060 Ventus 2X Black OC 8GB GDDR6,"1 352,89 zł",199 mm,8 GB,GeForce RTX 4060,2505 MHz
Karta graficzna Gigabyte Radeon RX 7700 XT Gaming OC 12GB GDDR6 (GV-R77XTGAMING OC-12GD),1 899 zł,302 mm,12 GB,Radeon RX 7700 XT,2599 MHz
Karta graficzna MSI GeForce RTX 4060 Ti Ventus 2X Black OC 8GB GDDR6,"1 879,62 zł",199 mm,8 GB,GeForce RTX 4060 Ti,2580 MHz
Karta graficzna MSI GeForce RTX 3050 Ventus 2X XS OC 8GB GDDR6,899 zł,205 mm,8 GB,GeForce RTX 3050,1807 MHz
Karta graficzna MSI GeForce RTX 4060 Ventus 2X White OC 8GB GDDR6,1 349 zł,199 mm,8 GB,GeForce RTX 4060,2505 MHz
Karta graficzna MSI GeForce RTX 3050 LP OC 6GB GDDR6,"828,90 zł",174 mm,6 GB,GeForce RTX 3050,1492 MHz
Karta graficzna MSI GeForce RTX 4060 Ti Ventus 2X Black OC 16GB GDDR6,"2 368,84 zł",199 mm,16 GB,GeForce RTX 4060 Ti,2625 MHz
Karta graficzna MSI GeForce RTX 5070 Gaming Trio OC 12GB GDDR7 DLSS4,3 299 zł,338 mm,12 GB,GeForce RTX 5070,2625 MHz
Karta graficzna MSI GeForce RTX 4080 SUPER Gaming X Slim White 16GB GDDR6X,"6 099,68 zł",322 mm,16 GB,GeForce RTX 4080 Super,2625 MHz
Karta graficzna MSI GeForce RTX 5070 Ventus 2X OC 12GB GDDR7 DLSS4,2 999 zł,236 mm,12 GB,GeForce RTX 5070,2557 MHz
Karta graficzna MSI GeForce RTX 3050 Ventus 2X E OC 6GB GDDR6,850 zł,174 mm,6 GB,GeForce RTX 3050,1492 MHz
Karta graficzna MSI GeForce RTX 3050 Ventus 2X XS OC White 8GB GDDR6,899 zł,205 mm,8 GB,GeForce RTX 3050,1807 MHz
Karta graficzna MSI GeForce RTX 5090 Ventus 3X OC 32GB GDDR7,15 999 zł,325 mm,32 GB,GeForce RTX 5090,2452 MHz
Karta graficzna MSI GeForce RTX 5090 Suprim Liquid SOC 32GB GDDR7,17 999 zł,280 mm,32 GB,GeForce RTX 5090,2580 MHz
Karta graficzna MSI GeForce RTX 4060 Ti Ventus 2X Black E1 OC 8GB GDDR6,"2 190,60 zł",199 mm,8 GB,GeForce RTX 4060 Ti,2580 MHz
Karta graficzna MSI GeForce RTX 5080 Ventus 3X OC 16GB GDDR7 DLSS4,"5 791,99 zł",303 mm,16 GB,GeForce RTX 5080,2655 MHz
Karta graficzna MSI GeForce RTX 5080 Ventus 3X OC Plus 16GB GDDR7 DLSS4,6 499 zł,303 mm,16 GB,GeForce RTX 5080,2655 MHz
Karta graficzna Gigabyte GeForce RTX 3060 Gaming OC 12G (GV-N3060GAMING OC-12GD 2.0),"1 279,99 zł",282 mm,12 GB,GeForce RTX 3060,1837 MHz
Karta graficzna Gigabyte GeForce RTX 4060 Eagle OC 8GB GDDR6 (GV-N4060EAGLE OC-8GD),"1 337,55 zł",272 mm,8 GB,GeForce RTX 4060,2505 MHz
Karta graficzna Gigabyte GeForce RTX 4060 Windforce OC 8GB GDDR6 (GV-N4060WF2OC-8GD),"1 380,99 zł",192 mm,8 GB,GeForce RTX 4060,2475 MHz
Karta graficzna Sapphire Pulse Radeon RX 7600 Gaming OC 8GB GDDR6 (11324-01-20G),"1 129,09 zł",240 mm,8 GB,Radeon RX 7600,2755 MHz
Karta graficzna Asus Phoenix GeForce GT 1030 OC 2GB GDDR5 (PH-GT1030-O2G),"600,38 zł",184 mm,2 GB,GeForce GT 1030,1531 MHz
Karta graficzna Sapphire Pulse Radeon RX 7700 XT 12GB GDDR6 (11335-04-20G),"1 772,26 zł",280 mm,12 GB,Radeon RX 7700 XT,2544 MHz
Karta graficzna Gigabyte Radeon RX 7600 Gaming OC 8GB GDDR6 (GV-R76GAMING OC-8GD),"1 273,98 zł",282 mm,8 GB,Radeon RX 7600,2755 MHz
Karta graficzna Gigabyte GeForce RTX­­ 4060 Gaming OC 8GB GDDR6 (GV-N4060GAMING OC-8GD),1 439 zł,281 mm,8 GB,GeForce RTX 4060,2550 MHz
